sentence_id,token_id,sentence,token,spo_label
1,1,P: Abdullah here.,P,other
1,2,P: Abdullah here.,:,other
1,3,P: Abdullah here.,Abdullah,other
1,4,P: Abdullah here.,here,other
1,5,P: Abdullah here.,.,other
2,1,I have been feeling quite thirsty lately and drinking much more water than usual.,I,Subject
2,2,I have been feeling quite thirsty lately and drinking much more water than usual.,have,Predicate
2,3,I have been feeling quite thirsty lately and drinking much more water than usual.,been,Predicate
2,4,I have been feeling quite thirsty lately and drinking much more water than usual.,feeling,Predicate
2,5,I have been feeling quite thirsty lately and drinking much more water than usual.,quite,Object
2,6,I have been feeling quite thirsty lately and drinking much more water than usual.,thirsty,Object
2,7,I have been feeling quite thirsty lately and drinking much more water than usual.,lately,Object
2,8,I have been feeling quite thirsty lately and drinking much more water than usual.,and,other
2,9,I have been feeling quite thirsty lately and drinking much more water than usual.,drinking,other
2,10,I have been feeling quite thirsty lately and drinking much more water than usual.,much,other
2,11,I have been feeling quite thirsty lately and drinking much more water than usual.,more,other
2,12,I have been feeling quite thirsty lately and drinking much more water than usual.,water,other
2,13,I have been feeling quite thirsty lately and drinking much more water than usual.,than,other
2,14,I have been feeling quite thirsty lately and drinking much more water than usual.,usual,other
2,15,I have been feeling quite thirsty lately and drinking much more water than usual.,.,other
3,1,I have been feeling quite thirsty lately and drinking much more water than usual.,I,Subject
3,2,I have been feeling quite thirsty lately and drinking much more water than usual.,have,Predicate
3,3,I have been feeling quite thirsty lately and drinking much more water than usual.,been,Predicate
3,4,I have been feeling quite thirsty lately and drinking much more water than usual.,feeling,other
3,5,I have been feeling quite thirsty lately and drinking much more water than usual.,quite,other
3,6,I have been feeling quite thirsty lately and drinking much more water than usual.,thirsty,other
3,7,I have been feeling quite thirsty lately and drinking much more water than usual.,lately,other
3,8,I have been feeling quite thirsty lately and drinking much more water than usual.,and,other
3,9,I have been feeling quite thirsty lately and drinking much more water than usual.,drinking,Predicate
3,10,I have been feeling quite thirsty lately and drinking much more water than usual.,much,Object
3,11,I have been feeling quite thirsty lately and drinking much more water than usual.,more,Object
3,12,I have been feeling quite thirsty lately and drinking much more water than usual.,water,Object
3,13,I have been feeling quite thirsty lately and drinking much more water than usual.,than,Object
3,14,I have been feeling quite thirsty lately and drinking much more water than usual.,usual,Object
3,15,I have been feeling quite thirsty lately and drinking much more water than usual.,.,other
4,1,Is this linked to my diabetes?,Is,Predicate
4,2,Is this linked to my diabetes?,this,Subject
4,3,Is this linked to my diabetes?,linked,Predicate
4,4,Is this linked to my diabetes?,to,Predicate
4,5,Is this linked to my diabetes?,my,Object
4,6,Is this linked to my diabetes?,diabetes,Object
4,7,Is this linked to my diabetes?,?,other
5,1,"A: Yes, Abdullah.",A,other
5,2,"A: Yes, Abdullah.",:,other
5,3,"A: Yes, Abdullah.",Yes,other
5,4,"A: Yes, Abdullah.",",",other
5,5,"A: Yes, Abdullah.",Abdullah,other
5,6,"A: Yes, Abdullah.",.,other
6,1,Unusually high thirst can be a symptom of higher than normal blood sugar levels.,Unusually,Subject
6,2,Unusually high thirst can be a symptom of higher than normal blood sugar levels.,high,Subject
6,3,Unusually high thirst can be a symptom of higher than normal blood sugar levels.,thirst,Subject
6,4,Unusually high thirst can be a symptom of higher than normal blood sugar levels.,can,Predicate
6,5,Unusually high thirst can be a symptom of higher than normal blood sugar levels.,be,Predicate
6,6,Unusually high thirst can be a symptom of higher than normal blood sugar levels.,a,Object
6,7,Unusually high thirst can be a symptom of higher than normal blood sugar levels.,symptom,Object
6,8,Unusually high thirst can be a symptom of higher than normal blood sugar levels.,of,Object
6,9,Unusually high thirst can be a symptom of higher than normal blood sugar levels.,higher,Object
6,10,Unusually high thirst can be a symptom of higher than normal blood sugar levels.,than,Object
6,11,Unusually high thirst can be a symptom of higher than normal blood sugar levels.,normal,Object
6,12,Unusually high thirst can be a symptom of higher than normal blood sugar levels.,blood,Object
6,13,Unusually high thirst can be a symptom of higher than normal blood sugar levels.,sugar,Object
6,14,Unusually high thirst can be a symptom of higher than normal blood sugar levels.,levels,Object
6,15,Unusually high thirst can be a symptom of higher than normal blood sugar levels.,.,other
7,1,"When there is excess sugar in your blood, your kidneys work harder to filter and absorb it, creating a need for more fluids in your body.",When,other
7,2,"When there is excess sugar in your blood, your kidneys work harder to filter and absorb it, creating a need for more fluids in your body.",there,other
7,3,"When there is excess sugar in your blood, your kidneys work harder to filter and absorb it, creating a need for more fluids in your body.",is,Predicate
